,Name,Absorption Score,LUMO Score,Charge Transfer Score,HOMO Energy,LUMO energy,Total Score
21,16ed_2b_13ea,54.346000000000004,100.46539360771557,45.845,7.34,-3.602671553855488,200.65639360771556
22,9ed_16b_4ea,80.0195,85.29547650504061,21.897499999999997,5.03,-3.458999661650147,187.2124765050406
23,9ed_28b_8ea,85.11775,99.50091545123539,13.1825,2.81,-3.5749916480177615,FAIL
24,5ed_41b_3ea,79.28825,70.7684098882415,16.025,0.86,-3.3921065558756425,FAIL
25,19ed_41b_2ea,63.54075,68.03249362087155,4.1425,0.64,-3.3805732617765893,FAIL
26,16ed_38b_5ea,134.88975,99.06675453787277,7.1375,1.83,-3.5657650127385194,FAIL
27,14ed_41b_6ea,70.5935,58.5577381896221,24.340000000000003,0.61,-3.341360061839811,FAIL
28,6ed_30b_1ea,60.54900000000001,41.66712496950499,12.64,2.36,-3.269194593048596,FAIL
29,9ed_28b_12ea,96.19149999999999,88.10065088606348,17.5575,3.56,-3.4741577053231874,FAIL
30,6ed_41b_2ea,85.73225,34.62909695535492,10.965,0.58,-3.235912801505615,FAIL
31,14ed_41b_8ea,68.19149999999999,99.24635161752632,25.2275,1.77,-3.6158524613972625,FAIL
32,21ed_10b_13ea,51.379500000000014,63.67094387741393,40.987500000000004,6.57,-3.3624495139066495,156.03794387741397
33,10ed_28b_11ea,70.999,7.363912823348315,8.4425,1.67,-3.028972553099757,FAIL
34,20ed_36b_11ea,61.78550000000001,80.62643189473641,12.7525,1.66,-3.4359330734520417,FAIL
35,9ed_44b_10ea,117.55975000000001,66.43799453517403,15.405,0.06,-3.6909836343853764,FAIL
36,9ed_3b_13ea,57.16274999999998,39.07939932916479,56.205,7.77,-3.7374463334701313,152.44714932916474
37,17ed_29b_5ea,61.413000000000004,3.4358731346150715,6.46,2.82,-2.950875675914744,FAIL
38,13ed_28b_3ea,68.98625000000001,65.97783661251296,12.7625,2.35,-3.372005671874436,FAIL
39,13ed_28b_9ea,74.43725,21.268626467556086,10.1025,1.75,-3.1601225831404127,FAIL
40,21ed_44b_4ea,111.16625,46.43601678450466,1.8675,0.55,-3.7242654259283565,FAIL
41,3ed_38b_6ea,116.9655,95.38423188690598,5.0075,0.92,-3.63232859582448,FAIL
42,9ed_1b_13ea,86.041,56.218372589136216,38.9825,6.88,-3.707789291501139,181.24187258913622
43,7ed_41b_12ea,104.89074999999998,73.00067979377036,6.092499999999999,1.01,-3.4016627138434288,FAIL
44,19ed_29b_4ea,61.537000000000006,37.89554780140686,8.985,3.65,-3.2517298905557444,FAIL
